Selection Result,Trial,Arena,Time bin,Velocity,Velocity,In zone,In zone,Zone alternation,Zone alternation,Zone alternation,Zone alternation,Distance moved 2,Acceleration,Acceleration
,,,,Center-point,Center-point,Inside / Center-point,Inside / Center-point,Center-point / Alternations,Center-point / Max alternations,Center-point / Direct revisits,Center-point / Indirect revisits,Center-point,Center-point,Center-point
,,,,Mean,Maximum,Frequency,Cumulative Duration,Frequency,Frequency,Frequency,Frequency,Total,Mean,Maximum
,,,,mm/s,mm/s,,s,,,,,mm,mm/s_,mm/s_
LD KO,Trial     4,A2,0:15:00-0:15:20,5.27753,151.72,0,0,0,0,0,0,105.551,-0.387833,6748.36
LD KO,Trial     4,A2,0:15:20-0:15:40,5.7301,42.9789,0,0,0,0,0,0,114.373,0.339144,1509.26
LD KO,Trial     4,A2,0:15:40-0:16:00,5.78733,87.0671,1,1.48,0,0,0,0,115.747,-0.0845455,3152.4
LD KO,Trial     4,A2,0:16:00-0:16:20,6.05429,138.645,1,1.8,0,0,0,0,121.086,0.300786,5929.96
LD KO,Trial     4,A2,0:16:20-0:16:40,6.09639,138.28,0,0,0,0,0,0,121.928,-0.312454,6335.96
LD KO,Trial     4,A2,0:16:40-0:17:00,5.53019,102.793,0,0,0,0,0,0,110.383,0.605291,4042.18
LD KO,Trial     4,A2,0:17:00-0:17:20,4.74568,60.0542,0,0,0,0,0,0,94.9136,-0.134034,1754.5
LD KO,Trial     4,A2,0:17:20-0:17:40,5.43656,117.429,0,0,0,0,0,0,108.731,-0.00315148,5243.92
LD KO,Trial     4,A2,0:17:40-0:18:00,5.66173,129.861,0,0,0,0,0,0,113.235,0.0493254,5380.46
LD KO,Trial     4,A2,0:18:00-0:18:20,5.39691,94.5874,0,0,0,0,0,0,107.722,0.118789,4016.96
LD KO,Trial     4,A4,0:15:00-0:15:20,6.65945,124.936,0,0,0,0,0,0,133.189,0.448883,5755.82
LD KO,Trial     4,A4,0:15:20-0:15:40,5.2849,112.726,1,3.28,0,0,0,0,105.487,-0.861922,4977.07
LD KO,Trial     4,A4,0:15:40-0:16:00,6.08806,52.3071,0,0,0,0,0,0,121.761,0.392543,1875.31
LD KO,Trial     4,A4,0:16:00-0:16:20,5.72094,106.799,0,0,0,0,0,0,114.419,0.219009,4817.44
LD KO,Trial     4,A4,0:16:20-0:16:40,5.21544,37.6855,0,0,0,0,0,0,104.309,-0.639941,871.901
LD KO,Trial     4,A4,0:16:40-0:17:00,6.13575,38.4086,0,0,0,0,0,0,122.469,0.455473,1280.4
LD KO,Trial     4,A4,0:17:00-0:17:20,6.62774,48.8849,2,3.9,0,0,0,0,132.555,1.28387,1822.89
LD KO,Trial     4,A4,0:17:20-0:17:40,6.51691,46.3378,0,0,0,0,0,0,130.338,-1.49952,2000.63
LD KO,Trial     4,A4,0:17:40-0:18:00,6.54297,38.313,0,0,0,0,0,0,130.859,0.0895367,1591
LD KO,Trial     4,A4,0:18:00-0:18:20,5.87649,31.9404,1,1.3,0,0,0,0,117.295,-0.111884,1358.34
LD KO,Trial     4,A6,0:15:00-0:15:20,5.06062,35.7524,0,0,0,0,0,0,101.212,-0.157086,1493.64
LD KO,Trial     4,A6,0:15:20-0:15:40,6.45372,100.964,0,0,0,0,0,0,128.816,-0.0618309,3185.84
LD KO,Trial     4,A6,0:15:40-0:16:00,6.49239,58.2257,0,0,0,0,0,0,129.848,0.00144316,1684.12
LD KO,Trial     4,A6,0:16:00-0:16:20,5.12489,60.9078,0,0,0,0,0,0,102.498,0.187022,1933.46
LD KO,Trial     4,A6,0:16:20-0:16:40,6.19947,103.271,0,0,0,0,0,0,123.989,-0.22044,4457.86
LD KO,Trial     4,A6,0:16:40-0:17:00,6.24799,116.393,2,2.36,0,0,0,0,124.71,-0.257629,5347.7
LD KO,Trial     4,A6,0:17:00-0:17:20,6.10195,139.385,0,0,0,0,0,0,122.039,0.00363393,5491.55
LD KO,Trial     4,A6,0:17:20-0:17:40,4.46843,41.9973,2,2.08,0,0,0,0,89.3687,0.608527,1264.28
LD KO,Trial     4,A6,0:17:40-0:18:00,4.08366,108.559,5,7.54,0,0,0,0,81.6732,-0.625281,3809.7
LD KO,Trial     4,A6,0:18:00-0:18:20,5.05466,101.79,0,0,0,0,0,0,100.891,0.00964014,4474.48
LD KO,Trial     4,B1,0:15:00-0:15:20,6.54266,134.949,1,0.1,0,0,0,0,130.853,1.71929,5706.17
LD KO,Trial     4,B1,0:15:20-0:15:40,5.70757,166.304,2,1.8,0,0,0,0,113.923,-1.70744,7209.47
LD KO,Trial     4,B1,0:15:40-0:16:00,6.66511,65.9247,4,3.46,0,0,0,0,133.302,0.0271155,3218.5
LD KO,Trial     4,B1,0:16:00-0:16:20,5.71046,61.0556,0,0,0,0,0,0,114.209,0.101654,2268.19
LD KO,Trial     4,B1,0:16:20-0:16:40,5.41421,68.6064,2,3.5,0,0,0,0,108.284,-0.132343,3110.21
LD KO,Trial     4,B1,0:16:40-0:17:00,7.43768,136.029,1,0.3,0,0,0,0,148.456,0.797227,5015.57
LD KO,Trial     4,B1,0:17:00-0:17:20,4.94414,49.4386,0,0,0,0,0,0,98.8828,-0.449378,1478.7
LD KO,Trial     4,B1,0:17:20-0:17:40,6.01986,81.9392,9,3.52,0,0,0,0,120.397,-0.282146,2886.7
LD KO,Trial     4,B1,0:17:40-0:18:00,5.9299,117.678,2,2.06,0,0,0,0,118.598,0.1831,4518.96
LD KO,Trial     4,B1,0:18:00-0:18:20,5.53178,161.81,3,4.06,0,0,0,0,110.414,-0.125141,7283.65
LD KO,Trial     4,B2,0:15:00-0:15:20,5.16908,58.0872,13,10.18,0,0,0,0,103.382,0.208466,2732.21
LD KO,Trial     4,B2,0:15:20-0:15:40,5.08906,68.6277,2,11.94,0,0,0,0,101.578,-0.24706,3014.6
LD KO,Trial     4,B2,0:15:40-0:16:00,5.40551,82.7572,20,4.28,0,0,0,0,108.11,0.0798667,4116.5
LD KO,Trial     4,B2,0:16:00-0:16:20,5.08891,98.6103,2,3.82,0,0,0,0,101.778,-0.104805,3212.86
LD KO,Trial     4,B2,0:16:20-0:16:40,3.75836,48.3659,3,13.02,0,0,0,0,75.1672,-0.0121472,2232.76
LD KO,Trial     4,B2,0:16:40-0:17:00,3.13522,142.612,2,15.52,0,0,0,0,62.5789,-0.0115789,4828.01
LD KO,Trial     4,B2,0:17:00-0:17:20,4.3945,170.774,3,8.96,0,0,0,0,87.89,0.00862184,7563.68
LD KO,Trial     4,B2,0:17:20-0:17:40,3.20124,161.05,1,0.14,0,0,0,0,64.0248,-0.0128723,5569.96
LD KO,Trial     4,B2,0:17:40-0:18:00,4.20622,113.603,4,4.84,0,0,0,0,84.1245,-0.0339341,4731.63
LD KO,Trial     4,B2,0:18:00-0:18:20,2.56001,29.0202,0,0,0,0,0,0,51.0979,0.0461767,853.935
LD KO,Trial     4,C1,0:15:00-0:15:20,4.24094,111.745,0,0,0,0,0,0,84.8189,-0.289386,4351.46
LD KO,Trial     4,C1,0:15:20-0:15:40,3.80606,91.6123,12,12.5,0,0,0,0,75.969,-0.063321,3870.83
LD KO,Trial     4,C1,0:15:40-0:16:00,3.12549,98.0451,2,0.66,0,0,0,0,62.5099,0.036721,3848.76
LD KO,Trial     4,C1,0:16:00-0:16:20,4.03209,113.53,1,7.32,0,0,0,0,80.6418,-0.0742341,4784.13
LD KO,Trial     4,C1,0:16:20-0:16:40,5.66137,45.8167,0,0,0,0,0,0,113.227,0.286247,1588.67
LD KO,Trial     4,C1,0:16:40-0:17:00,3.91876,43.6649,0,0,0,0,0,0,78.2185,-0.300729,1807.71
LD KO,Trial     4,C1,0:17:00-0:17:20,5.86869,109.462,0,0,0,0,0,0,117.374,0.323678,4265.47
LD KO,Trial     4,C1,0:17:20-0:17:40,4.0503,112.439,1,6.44,0,0,0,0,81.006,-0.312602,4415.1
LD KO,Trial     4,C1,0:17:40-0:18:00,4.31445,125.659,30,8.6,0,0,0,0,86.289,-0.0263443,4973.62
LD KO,Trial     4,C1,0:18:00-0:18:20,3.93242,45.868,1,0.24,0,0,0,0,78.4911,0.0851256,1336.22
LD KO,Trial     4,C6,0:15:00-0:15:20,4.53943,133.626,3,0.96,0,0,0,0,90.7887,0.15673,4418.02
LD KO,Trial     4,C6,0:15:20-0:15:40,4.49358,158.478,3,2.22,0,0,0,0,89.6919,-0.110625,6903.39
LD KO,Trial     4,C6,0:15:40-0:16:00,5.0718,131.369,1,1.64,0,0,0,0,101.436,-0.256674,5123.3
LD KO,Trial     4,C6,0:16:00-0:16:20,4.46004,138.307,3,7.52,0,0,0,0,89.2008,0.0798616,5279.36
LD KO,Trial     4,C6,0:16:20-0:16:40,3.84775,146.726,2,6.94,0,0,0,0,76.9549,-0.0690873,5959.95
LD KO,Trial     4,C6,0:16:40-0:17:00,4.80594,135.145,1,0.14,0,0,0,0,95.9265,0.476591,5596.55
LD KO,Trial     4,C6,0:17:00-0:17:20,3.90238,158.15,0,0,0,0,0,0,78.0475,-0.230707,6674.26
LD KO,Trial     4,C6,0:17:20-0:17:40,3.5208,102.455,0,0,0,0,0,0,70.416,0.0243092,2226.73
LD KO,Trial     4,C6,0:17:40-0:18:00,4.19077,130.596,0,0,0,0,0,0,83.8154,0.0110527,4877.1
LD KO,Trial     4,C6,0:18:00-0:18:20,5.73282,132.229,0,0,0,0,0,0,114.427,0.00586344,6176.62
LD KO,Trial     5,A1,0:15:00-0:15:20,6.813,170.021,0,0,0,0,0,0,136.26,-0.602122,8303.88
LD KO,Trial     5,A1,0:15:20-0:15:40,8.37236,53.5838,0,0,0,0,0,0,167.112,-0.23654,1403.36
LD KO,Trial     5,A1,0:15:40-0:16:00,6.29199,67.0106,0,0,0,0,0,0,125.84,-0.0786274,1879.58
LD KO,Trial     5,A1,0:16:00-0:16:20,5.70341,96.7689,0,0,0,0,0,0,114.068,-0.0229791,2933.36
LD KO,Trial     5,A1,0:16:20-0:16:40,5.19044,49.2301,3,5.36,0,0,0,0,103.601,0.496736,1902.15
